2, 7, 9, 10, 11, 12, 17, 18, 19, 24, 36, 37, 39, 40, 43, 46, 53, 62, 66, 67
1, 2, 3, 4, 13, 25, 27, 29, 32, 35, 36, 37, 38, 40, 42, 49, 57, 59, 63, 69
5, 8, 10, 16, 20, 22, 24, 26, 27, 28, 30, 36, 41, 43, 44, 45, 47, 50, 63, 65
1, 5, 9, 10, 14, 16, 18, 21, 27, 28, 31, 36, 43, 46, 52, 59, 62, 65, 66, 68
3, 10, 11, 12, 16, 18, 24, 25, 27, 30, 34, 36, 39, 40, 44, 54, 61, 66, 67, 69
3, 7, 9, 11, 17, 22, 24, 30, 31, 40, 43, 45, 47, 51, 57, 58, 59, 63, 68, 70
10, 11, 17, 29, 32, 33, 34, 36, 38, 40, 41, 43, 46, 51, 55, 58, 59, 62, 63, 64
1, 3, 6, 10, 11, 13, 16, 29, 34, 37, 39, 51, 52, 54, 57, 63, 64, 65, 67, 70
1, 2, 6, 8, 20, 25, 26, 29, 35, 38, 41, 43, 45, 51, 53, 56, 58, 59, 64, 66
3, 7, 8, 10, 15, 30, 32, 38, 40, 41, 44, 45, 49, 50, 53, 54, 62, 64, 67, 70
1, 2, 3, 12, 13, 16, 17, 22, 25, 28, 30, 35, 37, 42, 48, 52, 57, 62, 66, 70
4, 6, 9, 15, 24, 25, 27, 28, 30, 31, 32, 40, 45, 48, 49, 53, 55, 58, 61, 70
1, 5, 13, 14, 17, 27, 30, 32, 34, 36, 38, 42, 48, 52, 54, 58, 63, 64, 66, 67
2, 6, 9, 10, 14, 19, 25, 26, 30, 32, 33, 34, 35, 38, 43, 51, 52, 54, 63, 70
2, 5, 6, 13, 16, 18, 19, 23, 28, 36, 39, 43, 45, 47, 53, 55, 57, 59, 62, 65
1, 5, 6, 10, 13, 15, 20, 21, 26, 27, 29, 37, 42, 44, 48, 58, 61, 63, 66, 68
6, 7, 8, 11, 14, 15, 17, 18, 19, 22, 25, 26, 35, 43, 46, 56, 57, 59, 65, 69
9, 13, 17, 27, 28, 29, 31, 32, 35, 38, 39, 40, 45, 52, 55, 56, 60, 68, 69, 70
3, 10, 14, 16, 17, 22, 26, 27, 28, 36, 37, 38, 45, 46, 48, 51, 58, 62, 64, 68
5, 9, 16, 17, 20, 24, 26, 27, 37, 39, 41, 45, 46, 55, 57, 60, 67, 68, 69, 70
2, 5, 6, 7, 13, 17, 18, 19, 23, 24, 27, 29, 38, 39, 40, 43, 44, 47, 62, 65
1, 6, 8, 12, 17, 18, 25, 26, 28, 30, 33, 46, 47, 54, 56, 58, 59, 61, 66, 67
8, 9, 15, 21, 24, 28, 29, 31, 35, 36, 41, 48, 50, 52, 54, 57, 58, 59, 62, 64
4, 6, 11, 14, 17, 20, 21, 23, 24, 25, 31, 36, 37, 40, 49, 50, 51, 59, 60, 64
4, 6, 8, 9, 11, 12, 14, 15, 16, 19, 21, 25, 34, 36, 43, 46, 53, 57, 58, 68
